PC4,City,hh_size,cars_per_hh,perc_public_parking,perc_paid_public_parking,perc_pop_25to45yr,perc_high_inc_hh,address_density,has_pt_1km
3871,Nijkerk,2.4,1.24910392737409,0.735152031827223,0,0.273979591836734,29.3,1002,1
3881,Putten,2.3,1.20951285768206,0.825571130962889,0,0.272522522522522,24.1,876,1
3882,Putten,2.5,1.18227244829909,0.918798172707331,0,0.265873015873015,24,966,1
3886,Barneveld,2.5,1.30320164217373,0.906307977736549,0,0.280898876404494,30.4,238,1
3888,Apeldoorn,2.8,1.38610208322885,0.924669781392397,0,0.270588235294117,32.6,182,0
3891,Zeewolde,2.1,1.1471078724254,0.819728580109378,0,0.283248730964467,16.3,1307,1
3892,Zeewolde,2.3,1.26001374809591,0.78687670876188,0,0.335892514395393,23.8,1007,1
3893,Zeewolde,2.5,1.33053523063807,0.725736657737482,0,0.327855382087099,28.8,1026,1
3894,Zeewolde,2.6,1.28737511359596,0.823379069141781,0,0.227313566936208,27.8,900,1
3896,Zeewolde,2.4,1.22512033122153,0.949085545722713,0,0.298701298701298,22.8,214,0
3897,Zeewolde,1.6,0.451759388365204,0.986889981390439,0,0.258503401360544,15,117,1
3898,Zeewolde,2.3,1.33663362333046,0.993842684936258,0,0.368421052631579,22,58,1
3899,Zeewolde,2.3,1.01117796268235,0.838989974006684,0,0.333333333333333,22,136,0
3901,Veenendaal,1.8,0.753758670559475,0.587355158060524,0.490949009580337,0.220525059665871,8,3379,1
3902,Veenendaal,2.4,0.973879782510727,0.712787071165296,0.0100753820954648,0.238734419942473,19.8,2175,1
3903,Veenendaal,2.3,1.23108146626393,0.582446117891456,0,0.286486486486486,25.5,1605,1
3904,Veenendaal,2.4,1.1270373706386,0.709470845972362,0.00237529691211401,0.262762762762762,22,2176,1
3905,Veenendaal,2.3,1.18393460373169,0.620782111600141,0.00851517797498478,0.247100175746924,16.8,2406,1
3906,Veenendaal,2.5,1.25673066737122,0.719084178777077,0,0.305293691080493,26.9,1395,1
3907,Veenendaal,3,1.0038610871761,0.830095021982697,0,0.178624813153961,37.1,1008,1
3911,Rhenen,2.3,1.14937754006332,0.861660314435445,0,0.264548494983277,23.3,1047,1
3912,Rhenen,2.4,1.15083476339931,0.803170409511228,0,0.318965517241379,17.6,1296,1
3921,Rhenen,2.4,1.22378496758497,0.761498845675723,0,0.274099883855981,24.3,510,1
3922,Rhenen,2.4,1.18637038614951,0.854938271604938,0,0.384615384615384,40.9,288,1
3925,Scherpenzeel,2.4,1.18661715602991,0.785374941779226,0,0.245529241179313,22.4,940,1
3927,Renswoude,2.5,1.4599098638544,0.869419017373435,0,0.245659722222222,26.6,528,1
3931,Woudenberg,2.5,1.30305908668617,0.824873906659005,0,0.247950819672131,26.9,1008,1
3941,Utrechtse Heuvelrug,2.1,1.26153169719777,0.805475002899895,0,0.299017313991577,30.2,566,1
3945,Wijk bij Duurstede,2.4,1.2564799157156,0.894578572042271,0,0.305722891566265,27.4,377,0
3947,Wijk bij Duurstede,2.5,1.34819237167719,0.933326919376563,0,0.282608695652173,29.3,204,0
3951,Utrechtse Heuvelrug,2.2,1.25084083523375,0.883224492662032,0,0.317787418655097,34.3,492,1
3953,Utrechtse Heuvelrug,2.4,1.37565173280282,0.938455935906773,0,0.285714285714285,38.8,147,1
