City,diesel_share
Lansingerland,0.0
Laren,0
Leeuwarden,0.75
Leiden,0.0
Leiderdorp,0
Leidschendam-Voorburg,0.0
Lelystad,0.0
Leudal,0
Leusden,0
Lingewaard,0
Lisse,0
Lochem,1.0
Loon op Zand,0
Lopik,0
Losser,0
Maasdriel,0
Maasgouw,0
Maashorst,0
Maassluis,0
Maastricht,0.0
Medemblik,0
Meerssen,0.0
Meierijstad,0
Meppel,0.0
Middelburg,0.0
Midden-Delfland,0
Midden-Drenthe,0.0
Midden-Groningen,0.75
Moerdijk,0.0
Molenlanden,0.0
Montferland,1.0
Montfoort,0
Mook en Middelaar,1.0
Neder-Betuwe,0.6666666666666666
Nederweert,0
Nieuwegein,0
Nieuwkoop,0
Nijkerk,0.0
Nijmegen,1.0
Nissewaard,0
Noardeast-Frysl̢n,0
Noord-Beveland,0
Noordenveld,0
Noordoostpolder,0
Noordwijk,0
"Nuenen, Gerwen en Nederwetten",0
Nunspeet,0.0
Oegstgeest,0
Oirschot,0
Oisterwijk,0.0
Oldambt,1.0
Oldebroek,0.0
Oldenzaal,0.0
Olst-Wijhe,0.0
Ommen,0.0
Oost Gelre,1.0
Oosterhout,0
Ooststellingwerf,0
Oostzaan,0
Opmeer,0
Opsterland,0
Oss,0.0
Oude IJsselstreek,1.0
Ouder-Amstel,0.0
Oudewater,0
Overbetuwe,1.0
Papendrecht,0
Peel en Maas,0
Pekela,0
Pijnacker-Nootdorp,0
Purmerend,0.0
Putten,0.0
Raalte,0.0
Reimerswaal,0.0
Renkum,0.0
Renswoude,0
Reusel-De Mierden,0
Rheden,0.0
Rhenen,0.0
Ridderkerk,0
Rijssen-Holten,0.0
Rijswijk,0.0
Roerdalen,0
Roermond,1.0
Roosendaal,0.0
Rotterdam,0.0
Rozendaal,0
Rucphen,0
Schagen,0.0
Scherpenzeel,0
Schiedam,0.0
Schiermonnikoog,0
Schouwen-Duiveland,0
Simpelveld,0
Sint-Michielsgestel,0
Sittard-Geleen,0.0
Sliedrecht,0.0
Sluis,0
Smallingerland,0
Soest,0.0
Someren,0
Son en Breugel,0
Stadskanaal,0
Staphorst,0
Stede Broec,0.0
Steenbergen,0
Steenwijkerland,0.0
Stein,0
Stichtse Vecht,0.0
S̼dwest-Frysl̢n,1.0
Terneuzen,0
Terschelling,0
Texel,0
Teylingen,0.0
Tholen,0
Tiel,0.5
Tilburg,0.0
Tubbergen,0
Twenterand,1.0
Tynaarlo,0
Tytsjerksteradiel,1.0
Uitgeest,0.0
Uithoorn,0
Urk,0
Utrecht,0.0
Utrechtse Heuvelrug,0.0
Vaals,0
Valkenburg aan de Geul,0.0
Valkenswaard,0
Veendam,1.0
Veenendaal,0.0
Veere,0
Veldhoven,0
Velsen,0.0
Venlo,0.6666666666666666
Venray,1.0
Vijfheerenlanden,0.0
Vlaardingen,0
Vlieland,0
Vlissingen,0.0
Voerendaal,0.0
Voorne aan Zee,0
Voorschoten,0.0
Voorst,0.5
Vught,0.0
Waadhoeke,1.0
Waalre,0
Waalwijk,0
Waddinxveen,0.0
Wageningen,0
Wassenaar,0
Waterland,0
Weert,0.0
West Betuwe,0.0
West Maas en Waal,0
Westerkwartier,1.0
Westerveld,0
Westervoort,0.0
Westerwolde,0
Westland,0
Weststellingwerf,0.0
Wierden,1.0
Wijchen,0.0
Wijdemeren,0
Wijk bij Duurstede,0
Winterswijk,1.0
Woensdrecht,0
Woerden,0.0
Wormerland,0
Woudenberg,0
Zaanstad,0.0
Zaltbommel,0.0
Zandvoort,0.0
Zeewolde,0
Zeist,0.0
Zevenaar,1.0
Zoetermeer,0.0
Zoeterwoude,0
Zuidplas,0.0
Zundert,0
Zutphen,0.0
Zwartewaterland,0
Zwijndrecht,0.0
Zwolle,0.0
